like,body,url
491,"Сегодня на Дзене я выложил небольшое мнение насчёт двух частей игр из серии Pillars of Eternity - старорежимных изометрических рпг. Переходите на канал, читайте, не забывайте ставить лайки и комментировать)
https://dzen.ru/a/Z1gFOlxfh3LPsS7J",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/YQwGEfS-cHw.jpg?size=1074x480&quality=96&sign=3acf6378a451b2740054c284f2e40dda&c_uniq_tag=s-DW2QExf0Oq1Qm2_87xkRH0ZZqwsigwtxZmft8KPG0&type=share
1351,"Доброе утро ❤
 Утренний чат",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/YQwGEfS-cHw.jpg?size=1074x480&quality=96&sign=3acf6378a451b2740054c284f2e40dda&c_uniq_tag=s-DW2QExf0Oq1Qm2_87xkRH0ZZqwsigwtxZmft8KPG0&type=share
1228,"Всем привет от добермальчика Принца 🥺
Ночной чат",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/YQwGEfS-cHw.jpg?size=1074x480&quality=96&sign=3acf6378a451b2740054c284f2e40dda&c_uniq_tag=s-DW2QExf0Oq1Qm2_87xkRH0ZZqwsigwtxZmft8KPG0&type=share
3410,"Из видео ""ШТОРМОВЫЕ СКАЛЫ ► DREDGE #5""

#Мемы #KuplinovPlay #DREDGE",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/YQwGEfS-cHw.jpg?size=1074x480&quality=96&sign=3acf6378a451b2740054c284f2e40dda&c_uniq_tag=s-DW2QExf0Oq1Qm2_87xkRH0ZZqwsigwtxZmft8KPG0&type=share
941,"всем доброе утро❤
утренний чат, как ваши дела?",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/YQwGEfS-cHw.jpg?size=1074x480&quality=96&sign=3acf6378a451b2740054c284f2e40dda&c_uniq_tag=s-DW2QExf0Oq1Qm2_87xkRH0ZZqwsigwtxZmft8KPG0&type=share
1114,"Как провели выходные? 
Ночной чат",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/YQwGEfS-cHw.jpg?size=1074x480&quality=96&sign=3acf6378a451b2740054c284f2e40dda&c_uniq_tag=s-DW2QExf0Oq1Qm2_87xkRH0ZZqwsigwtxZmft8KPG0&type=share
11695,"ВЕРНУЛСЯ НА РОДИНУ ► DREDGE #7

Прежде, чем написать комментарий, прочитайте правила: 
http://vk.com/topic-56169357_30217092",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/YQwGEfS-cHw.jpg?size=1074x480&quality=96&sign=3acf6378a451b2740054c284f2e40dda&c_uniq_tag=s-DW2QExf0Oq1Qm2_87xkRH0ZZqwsigwtxZmft8KPG0&type=share
701,"Сегодня на Дзене я поделился своими впечатлениями о довольно давней игре, на которую даже делал первый взгляд на канале - Mutant Year Zero. Это пошаговый шутер, наподобие X-Com, с апокалипсисом и разговаривающими прямоходящими зверьми) Переходите на канал, читайте, не забывайте ставить лайки и комментировать)
https://dzen.ru/a/Z1VhORZWRiOg6Zt4",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/2_vcQ_NEOsY.jpg?size=1074x480&quality=96&sign=c2d4f529df021d29595caabc41b339ea&c_uniq_tag=xAPtlaTeJp0ndGX2XSugGO5aZUTjonETnpeyrl4HhEc&type=share
1638,"Доброе утро! Как дела?
Утренний чат",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/2_vcQ_NEOsY.jpg?size=1074x480&quality=96&sign=c2d4f529df021d29595caabc41b339ea&c_uniq_tag=xAPtlaTeJp0ndGX2XSugGO5aZUTjonETnpeyrl4HhEc&type=share
1129,"Спокойной ночи, от кота Барса ;)
Ночной чат",https://sun23-2.userapi.com/impg/O9EIrbmmyFemIabe4ZMaBEQi8iGASWrtn8JtIQ/2_vcQ_NEOsY.jpg?size=1074x480&quality=96&sign=c2d4f529df021d29595caabc41b339ea&c_uniq_tag=xAPtlaTeJp0ndGX2XSugGO5aZUTjonETnpeyrl4HhEc&type=share
